,title,originallink,link,description,pubDate
12,"황가람, '<b>나는 반딧불</b>' 챌린지 유행…어린이 커버로 '초통령' 인기 입증",https://www.joongangenews.com/news/articleView.html?idxno=416038,https://www.joongangenews.com/news/articleView.html?idxno=416038,"신드롬을 일으킨 황가람의 '<b>나는 반딧불</b>'은 발매 당시 나 자신이 소중하다는 걸 깨달은 메시지로 많은 이들에게 위로를 전한 바 있다. 여기에 많은 방송을 통해 황가람의 오랜 무명 시절이 다뤄지며, 진정성이 더해진... ","Fri, 04 Apr 2025 10:32:00 +0900"
13,"황가람, 장원영 잇는 '초통령' 되려나…'<b>나는 반딧불</b>' 챌린지 유행ing",https://tenasia.hankyung.com/article/2025040401824,https://m.entertain.naver.com/article/312/0000706890,가수 황가람이 '<b>나는 반딧불</b>' 커버 챌린지 인기에 힘입어 큰 주목을 받고 있다. 4일 소속사에 따르면 최근 황가람의 '<b>나는 반딧불</b>'은 음원 차트에 이어 커버 챌린지로도 반응을 얻고 있다. 특히 초등학생 사이에서 '나는... ,"Fri, 04 Apr 2025 10:10:00 +0900"
14,"황가람, 초통령 등극…'<b>나는 반딧불</b>' 어린이 커버 '열풍'",https://www.xportsnews.com/article/1982016,https://m.entertain.naver.com/article/311/0001847200,"신드롬을 일으킨 황가람의 ‘<b>나는 반딧불</b>’은 발매 당시 나 자신이 소중하다는 걸 깨달은 메시지로 많은 이들에게 위로를 전한 바 있다. 여기에 많은 방송을 통해 황가람의 오랜 무명 시절이 다뤄지며, 진정성이 더해진... ","Fri, 04 Apr 2025 09:47:00 +0900"
15,황가람 ‘<b>나는 반딧불</b>’로 초통령 등극!,https://www.bntnews.co.kr/article/view/bnt202504040034,https://www.bntnews.co.kr/article/view/bnt202504040034,"신드롬을 일으킨 황가람의 ‘<b>나는 반딧불</b>’은 발매 당시 나 자신이 소중하다는 걸 깨달은 메시지로 많은 이들에게 위로를 전한 바 있다. 여기에 많은 방송을 통해 황가람의 오랜 무명 시절이 다뤄지며, 진정성이 더해진... ","Fri, 04 Apr 2025 09:06:00 +0900"
16,"<b>나는반딧불</b>원곡 감성 되살린 황가람, 첫 단독 투어 앞두고 대세 행보",https://www.topstarnews.net/news/articleView.html?idxno=15628837,https://www.topstarnews.net/news/articleView.html?idxno=15628837,같은 날 방송된 SBS 예능 '미운 우리 새끼'에 출연한 황가람은 20년 무명 생활을 지나 국민 위로송 '<b>나는 반딧불</b>'로 주목받게 된 인생 이야기를 전했다. 방송에서는 어머니를 향해 진심 어린 보이스로 노래를 부르며... ,"Thu, 03 Apr 2025 17:08:00 +0900"
17,"황가람, '<b>나는 반딧불</b>' 생라이브 실력도 최고! [영상]",https://www.starnewskorea.com/stview.php?no=2025040315391542943,https://m.entertain.naver.com/article/108/0003317217,3일 오후 서울 강남 엘리에나호텔 컨벤션홀에서 제13회 대한민국 예술문화인대상 시상식이 열렸다. 이날 가수 황가람이 참석해 포즈를 취하고 있다.,"Thu, 03 Apr 2025 15:39:00 +0900"
18,"용산구, 구민들의 지친 마음 치유할 ‘2025 용산예술무대 힐링콘서트’...",https://www.munhwa.com/news/view.html?no=2025040301039927301002,https://n.news.naver.com/mnews/article/021/0002700722?sid=102,"‘<b>나는 반딧불</b>’로 큰 사랑을 받고 있는 가수 황가람, 트로트 가수 김수찬을 비롯해 국내 최초의 남성 샹송 가수 무슈 고, 퓨전국악팀 Allstring(올스트링) 등이 출연해 무대를 빛낸다. 가수 황가람은 대표곡 ‘<b>나는 반딧불</b>... ","Thu, 03 Apr 2025 15:03:00 +0900"
19,"가수 황가람, 노숙 생활 고백…&quot;찜질방 옥상서 잤다&quot;",https://www.job-post.co.kr/news/articleView.html?idxno=139595,https://www.job-post.co.kr/news/articleView.html?idxno=139595,"지난달 30일 방송에서는 '<b>나는 반딧불</b>'로 대중에게 알려지기 전, 생활고로 인해 노숙까지 했던 황가람의 이야기가 최초 공개됐다. 황가람의 어머니는 &quot;처음엔 아들이 노숙했다는 이야기를 듣고 너무 놀라 제대로 듣지도... ","Thu, 03 Apr 2025 14:52:00 +0900"
20,영화 재개봉-음악 리메이크 ‘우려먹기’…오리지널 사라진 K-콘텐츠 시...,https://ilyo.co.kr/?ac=article_view&entry_id=489962,https://ilyo.co.kr/?ac=article_view&entry_id=489962,"조째즈가 부른 ‘모르시나요’(2위), 황가람의 ‘<b>나는 반딧불</b>’(6위), 이창섭의 ‘천상연’(22위), 임영웅의 ‘사랑은 늘 도망가’(34위), 임재현의 ‘비의 랩소디’(50) 등이 리메이크곡이다. TOP 50에 무려 다섯 곡이... ","Thu, 03 Apr 2025 13:40:00 +0900"
21,조째즈 열풍에 다비치 원곡 주당 가격 6~7배↑..뮤직카우 &quot;리메이크의 힘...,http://www.fnnews.com/news/202504031107127517,https://n.news.naver.com/mnews/article/014/0005330774?sid=103,2월 황가람의 ‘<b>나는반딧불</b>’를 밀어내고 1위에 오른 것이다. 조째즈의 ‘모르시나요’ 인기는 음악투자시장에서도 확인된다. ‘모르시나요’가 차트인하면서 음악투자 플랫폼 뮤직카우에 상장된 리메이크 원곡... ,"Thu, 03 Apr 2025 11:44:00 +0900"
